Time,Barcode,Model_Name,Voltage,Duty,Toral_Result,Section,Intelligent_Control,dB(A),RPM,index1,index2,index3,Index1_Limit,Index2_Limit,Index3_Limit,RPM_Up,RPM_Low,Range_Up,Range_Low,1P,2P,3P,4P,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,Spectrum_Control,1/n_Octave,Criteria_Path,Spectrum_OK?,Overall_Noise?,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,Line Name,Device ID,Source IP,Log_Date,Total_Result,LineName,BoxName,MESResult,ProgramVersion
2.02602E+13,TAA0412DDX01W2PA0262601966,TAA0412DDX01W2P F,12,20,OK,Section1,OK,54.79,3871.72,54,135.4,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4328.92,4100.31,3891.31,3742.15,3626.38,3541.23,OK,3rd Octave,,OK,OK,49.55,43.49,50.79,48.59,44.24,42.94,41.87,41.44,41.84,43.99,41.41,36.89,46.32,39.37,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601949,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.46,4129.53,40.32,182.3,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4642.15,4451.38,4239.69,4016.62,3796.62,3630.69,OK,3rd Octave,,OK,OK,54.67,46.44,49.38,50.68,44.59,45.59,44.55,44.22,41.8,45.37,39.86,42.26,44.25,39.9,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601944,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.05,4053.99,38.3,158.5,0.83,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4571.85,4334.77,4111.77,3922.69,3764.54,3618.31,OK,3rd Octave,,OK,OK,52.66,46.42,48.62,50.2,44.91,44.61,42.91,43.4,41.42,44.53,37.95,44.48,46.27,40.59,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601940,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.15,3990.26,58.41,193.8,0.82,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4488.38,4233.92,4007.92,3845.23,3729.69,3636.38,OK,3rd Octave,,OK,OK,53.93,45.57,49.62,49.89,46.21,44.4,43.05,42.1,40.15,45.44,39.96,41.65,45.59,39.39,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601941,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.37,3956.5,54.32,153.34,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4417.92,4198.15,3997.54,3826.69,3692.92,3605.77,OK,3rd Octave,,OK,OK,51.37,45.22,49.36,49.74,44.31,43.57,42.88,42.91,40.23,45.02,37.62,35.56,45.1,38.62,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601938,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.38,3944.55,45.67,213.02,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4375,4165.77,3975.08,3822.46,3710.38,3618.62,OK,3rd Octave,,OK,OK,51.48,44.94,48.35,48.7,43.62,42.9,42.73,41.89,42.59,46.48,36.63,45.34,46.79,38.16,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601934,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.01,3976.44,30.07,196.18,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4520.85,4313.15,4059.69,3810.54,3631.38,3523,OK,3rd Octave,,OK,OK,49.96,45.51,47.98,49.11,44.69,43.67,42.43,42.84,40.06,44.1,37.78,41.35,46.03,38.75,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601980,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.84,3926.22,34.12,115.24,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4347.92,4143.15,3963.46,3809.77,3692.23,3600.77,OK,3rd Octave,,OK,OK,50.42,44.17,49.64,49.99,45.3,44.21,43.32,43.35,41.28,50.31,39.74,41.74,44.33,39.81,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601977,TAA0412DDX01W2P F,12,20,OK,Section1,OK,54.99,4013.53,43.75,133.06,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4510.92,4289.77,4070.92,3880.15,3722.23,3607.15,OK,3rd Octave,,OK,OK,50.09,43.8,49.88,49.49,44.59,44.47,42.33,42.38,40.44,42.08,38.6,39.82,46.68,38.62,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601927,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.57,3923.67,62.76,203.61,0.79,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4361.85,4141.31,3944,3787.23,3680.77,3626.85,OK,3rd Octave,,OK,OK,51.42,44.93,50.18,49.11,43.44,43.31,42.23,41.36,40.46,46.46,40.17,39.68,42.26,39.1,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601931,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.44,4043.15,35.09,169.48,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4513.69,4312.85,4105,3920.23,3763.38,3643.77,OK,3rd Octave,,OK,OK,50.31,43.67,47.12,47.48,45.42,44.51,41.25,41.61,42.19,43.74,38.37,38.38,46.81,39.57,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262601912,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.48,4074.87,53.11,206.53,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4578.15,4361.92,4134,3931.62,3779.23,3664.31,OK,3rd Octave,,OK,OK,51.53,45.85,48.52,49.27,44.29,44.74,42.21,42.76,41.79,47.97,38.31,42.49,43.93,39.54,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262605143,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.38,4002.05,45.31,172.6,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4445.38,4236.92,4049.31,3889.69,3748.46,3642.54,OK,3rd Octave,,OK,OK,52.78,43.96,49.97,50.14,43.98,44.28,42.84,42.67,40.81,43.81,38.07,43.62,42.57,39.31,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262602003,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.05,4030.88,43.38,143.97,0.83,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4544.46,4317,4089.38,3889.77,3728.31,3616.38,OK,3rd Octave,,OK,OK,53.87,44.94,50.74,52.05,44.22,44.48,43.1,43.55,41.51,43.54,38.03,36.99,46.41,38.73,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262600174,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.32,3967.59,33.99,260.62,0.84,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4407.31,4218.46,4023.77,3842.08,3706.69,3607.23,OK,3rd Octave,,OK,OK,54.3,44.87,49.2,50.27,44.59,44.8,43,42.24,43.34,48.74,37.92,43.38,47.36,39.07,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262602010,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.79,4167.41,29.86,100.42,0.85,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4684.38,4465.92,4242.31,4041.08,3859.92,3710.85,OK,3rd Octave,,OK,OK,53.88,47.35,49.18,52.22,45.91,45.02,44.87,43.96,42.29,44.32,42.46,42.64,48.65,40.86,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262602017,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.51,3914.82,48.52,132.82,0.83,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4344.31,4126.69,3941.08,3796.69,3683.08,3597.08,OK,3rd Octave,,OK,OK,50.35,44.48,49.16,49.33,43.33,44.16,42.53,42.48,42.12,47.01,38.69,40.74,46.07,39.81,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262605174,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.88,4016.01,70.4,211.54,0.82,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4427.69,4251.31,4066.38,3891.69,3764.77,3694.23,OK,3rd Octave,,OK,OK,52.2,45.01,50.12,52.07,43.75,44.4,44.2,43.41,42.37,44.01,41.57,43.53,44.74,41.88,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262600171,TAA0412DDX01W2P F,12,20,OK,Section1,OK,56.49,4110.76,48.09,175.64,0.81,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4638.08,4425.85,4204.15,3980.08,3782.23,3634.15,OK,3rd Octave,,OK,OK,54.17,46.79,49.74,51.4,44.89,45.55,42.99,44.79,42.97,45.16,37.43,45.71,44.52,37.99,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262600167,TAA0412DDX01W2P F,12,20,OK,Section1,OK,55.43,4003.42,43.61,169.28,0.82,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4501.23,4290.08,4085.62,3876.54,3699.85,3567.23,OK,3rd Octave,,OK,OK,52.4,45.71,46.79,48.94,45.35,44.98,41.88,43.15,42.48,44.48,40.09,41.98,45.03,38.46,Line_1,Station_1,10.184.136.2,20260209,,,,,
2.02602E+13,TAA0412DDX01W2PA0262600166,TAA0412DDX01W2P F,12,20,OK,Section1,OK,54.95,3894.12,37.2,195.27,0.82,200,350,1,6500,1,32,48,TRUE,TRUE,TRUE,TRUE,4304.15,4096.38,3921.85,3787.69,3670.77,3583.85,OK,3rd Octave,,OK,OK,50.15,43.18,49.02,49.14,43.9,43.06,42.95,42,43.64,45.36,36.62,42.18,44.47,38.11,Line_1,Station_1,10.184.136.2,20260209,,,,,
